time,xte
0.0000,-0.014080
0.1000,0.016366
0.2000,0.047150
0.3000,0.053581
0.4000,0.079100
0.5000,0.102200
0.6000,0.112969
0.7000,0.132869
0.8000,0.135194
0.9000,0.156216
1.0000,0.174398
1.1000,0.192029
1.2000,0.202409
1.3000,0.198201
1.4000,0.209173
1.5000,0.229914
1.6000,0.234917
1.7000,0.236513
1.8000,0.252001
1.9000,0.264901
2.0000,0.269739
2.1000,0.274694
2.2000,0.283231
2.3000,0.280540
2.4000,0.291225
2.5000,0.293954
2.6000,0.310512
2.7000,0.312146
2.8000,0.323422
2.9000,0.323416
3.0000,0.322502
3.1000,0.326627
3.2000,0.337611
3.3000,0.339138
3.4000,0.339307
3.5000,0.350583
3.6000,0.335953
3.7000,0.344225
3.8000,0.336568
3.9000,0.339315
4.0000,0.322146
4.1000,0.321338
4.2000,0.307251
4.3000,0.304716
4.4000,0.281791
4.5000,0.281964
4.6000,0.263247
4.7000,0.245771
4.8000,0.233147
4.9000,0.223739
5.0000,0.205161
5.1000,0.191336
5.2000,0.190599
5.3000,0.163425
5.4000,0.159458
5.5000,0.153070
5.6000,0.143075
5.7000,0.129489
5.8000,0.136754
5.9000,0.116706
6.0000,0.115644
6.1000,0.098304
6.2000,0.097196
6.3000,0.090413
6.4000,0.078486
6.5000,0.080040
6.6000,0.058254
6.7000,0.026830
6.8000,0.022364
6.9000,-0.013207
7.0000,-0.039000
7.1000,-0.079789
7.2000,-0.100702
7.3000,-0.133237
7.4000,-0.168155
7.5000,-0.189970
7.6000,-0.239386
7.7000,-0.279344
7.8000,-0.320574
7.9000,-0.325475
8.0000,-0.300998
8.1000,-0.238218
8.2000,-0.178224
8.3000,-0.086432
8.4000,-0.007603
8.5000,0.085729
8.6000,0.170296
8.7000,0.250682
8.8000,0.332226
8.9000,0.416634
9.0000,0.486449
9.1000,0.563574
9.2000,0.633536
9.3000,0.690030
9.4000,0.768568
9.5000,0.827890
9.6000,0.906190
9.7000,0.979112
9.8000,1.039447
9.9000,1.094632
10.0000,1.152637
10.1000,1.204456
10.2000,1.246314
10.3000,1.306421
10.4000,1.331233
10.5000,1.367638
10.6000,1.400333
10.7000,1.428470
10.8000,1.450886
10.9000,1.469174
11.0000,1.501081
11.1000,1.531670
11.2000,1.548027
11.3000,1.567968
11.4000,1.585694
11.5000,1.587227
11.6000,1.596996
11.7000,1.598547
11.8000,1.591854
11.9000,1.595409
12.0000,1.596899
12.1000,1.581841
12.2000,1.554725
12.3000,1.557312
12.4000,1.534115
12.5000,1.506633
12.6000,1.481069
12.7000,1.455814
12.8000,1.428419
12.9000,1.394891
13.0000,1.362147
13.1000,1.342420
13.2000,1.298695
13.3000,1.266120
13.4000,1.217679
13.5000,1.190140
13.6000,1.154147
13.7000,1.113882
13.8000,1.075769
13.9000,1.032308
14.0000,0.987523
14.1000,0.945001
14.2000,0.910672
14.3000,0.864489
14.4000,0.824535
14.5000,0.789245
14.6000,0.745639
14.7000,0.704607
14.8000,0.677578
14.9000,0.635685
15.0000,0.593911
15.1000,0.565026
15.2000,0.526687
15.3000,0.496294
15.4000,0.459434
15.5000,0.428500
15.6000,0.377120
15.7000,0.352272
15.8000,0.321288
15.9000,0.291545
16.0000,0.240531
16.1000,0.226264
16.2000,0.192839
16.3000,0.159965
16.4000,0.133535
16.5000,0.112357
16.6000,0.091963
16.7000,0.085670
16.8000,0.066017
16.9000,0.051101
17.0000,0.033041
17.1000,0.020370
17.2000,0.006735
17.3000,-0.008177
17.4000,-0.010994
17.5000,-0.022912
17.6000,-0.039660
17.7000,-0.049262
17.8000,-0.042148
17.9000,-0.049436
18.0000,-0.056655
18.1000,-0.063637
18.2000,-0.066043
18.3000,-0.077889
18.4000,-0.072279
18.5000,-0.081045
18.6000,-0.091945
18.7000,-0.093221
18.8000,-0.086197
18.9000,-0.089917
19.0000,-0.100799
19.1000,-0.093518
19.2000,-0.105339
19.3000,-0.112311
19.4000,-0.115532
19.5000,-0.115529
19.6000,-0.117056
19.7000,-0.122846
19.8000,-0.121354
19.9000,-0.130610
20.0000,-0.140100
20.1000,-0.149651
20.2000,-0.140393
20.3000,-0.149315
20.4000,-0.141021
20.5000,-0.147693
20.6000,-0.144019
20.7000,-0.160563
20.8000,-0.168258
20.9000,-0.157795
21.0000,-0.167204
21.1000,-0.167169
21.2000,-0.180726
21.3000,-0.184319
21.4000,-0.175495
21.5000,-0.172770
21.6000,-0.179871
21.7000,-0.175016
21.8000,-0.163727
21.9000,-0.162614
22.0000,-0.155225
22.1000,-0.152514
22.2000,-0.152845
22.3000,-0.152423
22.4000,-0.148983
22.5000,-0.147160
22.6000,-0.149200
22.7000,-0.136836
22.8000,-0.140283
22.9000,-0.126849
23.0000,-0.130478
23.1000,-0.133391
23.2000,-0.117713
23.3000,-0.109234
23.4000,-0.108214
23.5000,-0.112190
23.6000,-0.103113
23.7000,-0.104995
23.8000,-0.094821
23.9000,-0.084289
24.0000,-0.062128
24.1000,-0.041639
24.2000,-0.019624
24.3000,0.009113
24.4000,0.043650
24.5000,0.058603
24.6000,0.097568
24.7000,0.125269
24.8000,0.150339
24.9000,0.204371
25.0000,0.253718
25.1000,0.306941
25.2000,0.333756
25.3000,0.372266
25.4000,0.336821
25.5000,0.268146
25.6000,0.184261
25.7000,0.097551
25.8000,0.007454
25.9000,-0.071249
26.0000,-0.150235
26.1000,-0.215477
26.2000,-0.293073
26.3000,-0.358221
26.4000,-0.425480
26.5000,-0.504129
26.6000,-0.579471
26.7000,-0.649060
26.8000,-0.709924
26.9000,-0.777429
27.0000,-0.839016
27.1000,-0.905284
27.2000,-0.950820
27.3000,-0.995312
27.4000,-1.037782
27.5000,-1.075750
27.6000,-1.111699
27.7000,-1.135414
27.8000,-1.175780
27.9000,-1.191944
28.0000,-1.212037
28.1000,-1.217047
28.2000,-1.235925
28.3000,-1.252256
28.4000,-1.247944
28.5000,-1.246237
28.6000,-1.250871
28.7000,-1.266072
28.8000,-1.245380
28.9000,-1.243884
29.0000,-1.228673
29.1000,-1.228264
29.2000,-1.214669
29.3000,-1.204275
29.4000,-1.178181
29.5000,-1.166811
29.6000,-1.129772
29.7000,-1.126859
29.8000,-1.098474
29.9000,-1.071194
30.0000,-1.043537
30.1000,-1.010392
30.2000,-0.974267
30.3000,-0.944077
30.4000,-0.906489
30.5000,-0.877003
30.6000,-0.841484
30.7000,-0.817360
30.8000,-0.771860
30.9000,-0.741621
31.0000,-0.700915
31.1000,-0.659536
31.2000,-0.627226
31.3000,-0.596730
31.4000,-0.544713
31.5000,-0.522904
31.6000,-0.482741
31.7000,-0.441785
31.8000,-0.407936
31.9000,-0.376622
32.0000,-0.345792
32.1000,-0.300969
32.2000,-0.278152
32.3000,-0.244035
32.4000,-0.223142
32.5000,-0.187142
32.6000,-0.169748
32.7000,-0.140875
32.8000,-0.118424
32.9000,-0.097969
33.0000,-0.065147
33.1000,-0.046736
33.2000,-0.030647
33.3000,-0.003704
33.4000,0.017189
33.5000,0.038327
33.6000,0.048586
33.7000,0.067059
33.8000,0.070878
33.9000,0.094286
34.0000,0.117710
34.1000,0.120922
34.2000,0.134284
34.3000,0.137447
34.4000,0.149902
34.5000,0.174584
34.6000,0.178733
34.7000,0.184472
34.8000,0.200124
34.9000,0.207031
35.0000,0.215163
35.1000,0.221930
35.2000,0.240564
35.3000,0.237981
35.4000,0.244757
35.5000,0.257722
35.6000,0.245872
35.7000,0.265416
35.8000,0.263312
35.9000,0.275223
36.0000,0.279148
36.1000,0.277853
36.2000,0.288960
36.3000,0.284662
36.4000,0.286590
36.5000,0.278881
36.6000,0.278454
36.7000,0.271163
36.8000,0.259962
36.9000,0.254857
37.0000,0.255000
37.1000,0.238892
37.2000,0.238839
37.3000,0.232825
37.4000,0.235311
37.5000,0.225469
37.6000,0.238614
37.7000,0.228153
37.8000,0.231239
37.9000,0.215742
38.0000,0.216147
38.1000,0.207906
38.2000,0.204903
38.3000,0.204506
38.4000,0.199917
38.5000,0.184789
38.6000,0.180417
38.7000,0.158460
38.8000,0.160621
38.9000,0.134729
39.0000,0.143464
39.1000,0.132052
39.2000,0.124598
39.3000,0.117009
39.4000,0.104118
