time,xte
0.0000,0.012495
0.1000,0.016633
0.2000,0.044814
0.3000,0.045781
0.4000,0.065672
0.5000,0.074330
0.6000,0.078454
0.7000,0.057874
0.8000,0.042777
0.9000,0.031797
1.0000,0.010162
1.1000,-0.014275
1.2000,-0.027392
1.3000,-0.047098
1.4000,-0.050851
1.5000,-0.052338
1.6000,-0.051020
1.7000,-0.053741
1.8000,-0.023527
1.9000,-0.015469
2.0000,0.010843
2.1000,0.014025
2.2000,0.026479
2.3000,0.040719
2.4000,0.040791
2.5000,0.031633
2.6000,0.035983
2.7000,0.028467
2.8000,0.012633
2.9000,0.009237
3.0000,-0.012706
3.1000,-0.016559
3.2000,-0.017054
3.3000,-0.034708
3.4000,-0.020538
3.5000,-0.024031
3.6000,-0.005106
3.7000,-0.003253
3.8000,-0.002831
3.9000,-0.000421
4.0000,0.016903
4.1000,0.023877
4.2000,0.012790
4.3000,0.007808
4.4000,0.017175
4.5000,0.006229
4.6000,-0.003505
4.7000,0.004780
4.8000,-0.006265
4.9000,-0.000428
5.0000,-0.010261
5.1000,-0.019920
5.2000,-0.013658
5.3000,-0.009086
5.4000,-0.003546
5.5000,-0.012686
5.6000,-0.003099
5.7000,0.003010
5.8000,0.008451
5.9000,0.006895
6.0000,0.015970
6.1000,0.009467
6.2000,-0.004794
6.3000,-0.009814
6.4000,0.012803
6.5000,0.014619
6.6000,0.027153
6.7000,0.033628
6.8000,0.036356
6.9000,0.039355
7.0000,0.043031
7.1000,0.023453
7.2000,0.022312
7.3000,0.015291
7.4000,0.024491
7.5000,0.022201
7.6000,0.038741
7.7000,0.027658
7.8000,0.034650
7.9000,0.023284
8.0000,0.013034
8.1000,0.034720
8.2000,0.059301
8.3000,0.079054
8.4000,0.101854
8.5000,0.107277
8.6000,0.100953
8.7000,0.139615
8.8000,0.191831
8.9000,0.213724
9.0000,0.227633
9.1000,0.213879
9.2000,0.206474
9.3000,0.158868
9.4000,0.118668
9.5000,0.077190
9.6000,0.070793
9.7000,0.036932
9.8000,0.010629
9.9000,-0.012504
10.0000,-0.036805
10.1000,-0.047286
10.2000,-0.063864
10.3000,-0.050751
10.4000,-0.027948
10.5000,-0.011204
10.6000,0.024448
10.7000,0.035741
10.8000,0.038985
10.9000,0.038455
11.0000,0.041348
11.1000,0.033632
11.2000,0.040331
11.3000,0.027044
11.4000,0.039848
11.5000,0.033704
11.6000,0.013477
11.7000,0.009538
11.8000,0.005038
11.9000,-0.018694
12.0000,-0.008018
12.1000,-0.019143
12.2000,-0.020132
12.3000,-0.025773
12.4000,-0.008182
12.5000,0.000812
12.6000,0.008820
12.7000,0.017868
12.8000,0.027398
12.9000,0.021907
13.0000,0.020660
13.1000,0.019150
13.2000,0.015662
13.3000,-0.000045
13.4000,-0.014069
13.5000,-0.020082
13.6000,-0.023037
13.7000,-0.024541
13.8000,-0.047493
13.9000,-0.040191
14.0000,-0.029738
14.1000,-0.015388
14.2000,-0.019028
14.3000,-0.012995
14.4000,0.011578
14.5000,0.021597
14.6000,0.039631
14.7000,0.046696
14.8000,0.043516
14.9000,0.027053
15.0000,0.016214
15.1000,0.012410
15.2000,-0.012375
15.3000,-0.022348
15.4000,-0.023144
15.5000,-0.030488
15.6000,-0.039307
15.7000,-0.031611
15.8000,-0.021779
15.9000,-0.000085
16.0000,0.017655
16.1000,0.026761
16.2000,0.024522
16.3000,0.034065
16.4000,0.025933
16.5000,0.029775
16.6000,0.012853
16.7000,0.020302
16.8000,0.018060
16.9000,0.007644
17.0000,0.000860
17.1000,0.002541
17.2000,-0.004857
17.3000,-0.007058
17.4000,-0.017461
17.5000,-0.010627
17.6000,-0.005359
17.7000,-0.006671
17.8000,-0.002028
17.9000,-0.006335
18.0000,0.003446
18.1000,0.008600
18.2000,0.029318
18.3000,0.029459
18.4000,0.014398
18.5000,0.029842
18.6000,0.029369
18.7000,0.020953
18.8000,0.022548
18.9000,0.011681
19.0000,0.010671
19.1000,-0.008388
19.2000,-0.014740
19.3000,-0.016912
19.4000,-0.013038
19.5000,-0.027267
19.6000,-0.018651
19.7000,-0.022233
19.8000,-0.025850
19.9000,-0.017366
20.0000,-0.006325
20.1000,-0.004613
20.2000,0.001544
20.3000,0.009929
20.4000,0.004149
20.5000,0.006852
20.6000,0.009817
20.7000,0.006308
20.8000,-0.001100
20.9000,-0.006983
21.0000,-0.000804
21.1000,-0.010482
21.2000,-0.010381
21.3000,-0.019605
21.4000,-0.007613
21.5000,-0.007993
21.6000,-0.017381
21.7000,-0.021666
21.8000,-0.012977
21.9000,-0.016122
22.0000,-0.009600
22.1000,0.007032
22.2000,0.011742
22.3000,0.006614
22.4000,0.004438
22.5000,0.012867
22.6000,-0.004838
22.7000,-0.009590
22.8000,-0.013655
22.9000,-0.017676
23.0000,-0.019636
23.1000,-0.009338
23.2000,-0.009753
23.3000,-0.010582
23.4000,-0.008690
23.5000,0.003330
23.6000,0.002771
23.7000,0.010226
23.8000,-0.006251
23.9000,-0.011010
24.0000,-0.011183
24.1000,-0.019206
24.2000,-0.009731
24.3000,-0.005872
24.4000,-0.002739
24.5000,0.001342
24.6000,-0.003656
24.7000,-0.001427
24.8000,-0.021011
24.9000,-0.042444
25.0000,-0.052509
25.1000,-0.046761
25.2000,-0.054645
25.3000,-0.045735
25.4000,-0.036497
25.5000,-0.045483
25.6000,-0.071115
25.7000,-0.091762
25.8000,-0.081370
25.9000,-0.089226
26.0000,-0.078015
26.1000,-0.132219
26.2000,-0.166571
26.3000,-0.182302
26.4000,-0.193804
26.5000,-0.198544
26.6000,-0.185729
26.7000,-0.155593
26.8000,-0.141133
26.9000,-0.128690
27.0000,-0.109061
27.1000,-0.095318
27.2000,-0.061104
27.3000,-0.024428
27.4000,0.018101
27.5000,0.048859
27.6000,0.062282
27.7000,0.051970
27.8000,0.047336
27.9000,0.035044
28.0000,0.013966
28.1000,0.000646
28.2000,-0.016087
28.3000,-0.027980
28.4000,-0.040159
28.5000,-0.036135
28.6000,-0.049193
28.7000,-0.057199
28.8000,-0.056009
28.9000,-0.040348
29.0000,-0.017877
29.1000,-0.017614
29.2000,0.007480
29.3000,0.015245
29.4000,0.027586
29.5000,0.045050
29.6000,0.040785
29.7000,0.038500
29.8000,0.027797
29.9000,0.020537
30.0000,-0.003321
30.1000,-0.008921
30.2000,-0.011598
30.3000,-0.013462
30.4000,-0.030380
30.5000,-0.033569
30.6000,-0.019544
30.7000,-0.024250
30.8000,-0.014798
30.9000,-0.021566
31.0000,-0.001686
31.1000,0.000717
31.2000,0.008738
31.3000,0.008569
31.4000,0.022277
31.5000,0.007472
31.6000,0.009172
31.7000,0.009656
31.8000,0.013676
31.9000,0.014068
32.0000,-0.004794
32.1000,-0.014861
32.2000,-0.008690
32.3000,-0.013119
32.4000,-0.005526
32.5000,0.003380
32.6000,0.013158
32.7000,-0.002166
32.8000,0.009701
32.9000,0.004190
33.0000,-0.000121
33.1000,-0.000130
33.2000,-0.006637
33.3000,-0.000642
33.4000,-0.012408
33.5000,0.005173
33.6000,0.006097
33.7000,0.010611
33.8000,0.019392
33.9000,0.024296
34.0000,0.024413
34.1000,0.019462
34.2000,0.008974
34.3000,0.008614
34.4000,0.010507
34.5000,0.010636
34.6000,0.006011
34.7000,-0.003747
34.8000,-0.008083
34.9000,-0.010140
35.0000,-0.007242
35.1000,-0.000737
35.2000,-0.005403
35.3000,-0.002947
35.4000,0.011308
35.5000,0.005747
35.6000,0.001743
35.7000,0.002468
35.8000,0.003994
35.9000,0.013125
36.0000,0.018709
36.1000,0.009332
36.2000,0.011436
36.3000,0.002731
36.4000,-0.003757
36.5000,-0.000976
36.6000,-0.006754
36.7000,-0.019206
36.8000,-0.021758
36.9000,-0.016730
37.0000,-0.004758
37.1000,-0.005118
37.2000,0.013246
37.3000,0.010979
37.4000,0.017114
37.5000,0.026737
37.6000,0.013600
37.7000,0.021333
37.8000,0.021894
37.9000,-0.000822
38.0000,0.000733
38.1000,-0.005850
38.2000,-0.011588
38.3000,-0.010966
38.4000,-0.014679
38.5000,-0.023494
38.6000,-0.011723
38.7000,-0.006812
38.8000,-0.010334
38.9000,-0.008832
39.0000,-0.001920
39.1000,0.001151
39.2000,0.021594
39.3000,0.010386
39.4000,0.018471
39.5000,0.020638
39.6000,0.017420
39.7000,0.022283
39.8000,0.024942
39.9000,0.003038
40.0000,0.002983
40.1000,-0.014669
40.2000,-0.017100
40.3000,-0.011341
40.4000,-0.007599
40.5000,-0.004366
40.6000,-0.010003
40.7000,-0.010794
40.8000,-0.014280
40.9000,0.006589
41.0000,0.013992
41.1000,0.016451
41.2000,0.028055
41.3000,0.034107
41.4000,0.027784
41.5000,0.026278
41.6000,0.023936
41.7000,0.023994
41.8000,0.016031
41.9000,0.010559
42.0000,0.025740
42.1000,0.036008
42.2000,0.032573
42.3000,0.033667
42.4000,0.028883
42.5000,0.013094
42.6000,-0.001415
42.7000,0.002664
42.8000,0.030437
42.9000,0.046265
43.0000,0.068217
43.1000,0.085160
43.2000,0.064505
43.3000,0.105181
43.4000,0.158533
43.5000,0.191472
43.6000,0.206803
43.7000,0.199672
43.8000,0.178370
43.9000,0.153673
44.0000,0.139938
44.1000,0.146175
44.2000,0.124568
44.3000,0.109280
44.4000,0.085372
44.5000,0.049382
44.6000,0.007352
44.7000,-0.034179
44.8000,-0.046186
44.9000,-0.036145
45.0000,-0.021226
45.1000,-0.020380
45.2000,-0.019598
45.3000,0.007580
45.4000,0.024730
45.5000,0.033073
45.6000,0.043604
45.7000,0.035829
45.8000,0.050920
45.9000,0.073268
46.0000,0.061457
46.1000,0.060600
46.2000,0.047337
46.3000,0.022353
46.4000,0.004794
46.5000,-0.016396
46.6000,-0.032175
46.7000,-0.039203
46.8000,-0.055060
46.9000,-0.047274
47.0000,-0.038326
47.1000,-0.028390
47.2000,-0.019587
47.3000,-0.003503
47.4000,0.002378
47.5000,0.009742
47.6000,0.016151
47.7000,0.021406
47.8000,0.025683
47.9000,0.019774
48.0000,0.025787
48.1000,0.016322
48.2000,0.010608
48.3000,0.002943
48.4000,-0.012995
48.5000,-0.011582
48.6000,-0.015979
48.7000,-0.014411
48.8000,-0.002580
48.9000,-0.010485
49.0000,-0.013328
49.1000,-0.006206
49.2000,0.002838
49.3000,0.007846
49.4000,-0.006870
49.5000,0.009532
49.6000,0.015746
49.7000,0.010404
49.8000,-0.000525
49.9000,-0.010270
50.0000,-0.002220
50.1000,0.001404
50.2000,0.006051
50.3000,-0.004754
50.4000,0.001932
50.5000,-0.001305
50.6000,0.003867
50.7000,0.007901
50.8000,-0.002068
50.9000,0.004570
51.0000,-0.000776
51.1000,-0.002583
51.2000,0.005210
51.3000,-0.006432
51.4000,0.006412
51.5000,0.008277
51.6000,-0.004143
51.7000,-0.008109
51.8000,-0.007736
51.9000,0.000895
52.0000,0.001502
52.1000,0.008545
52.2000,0.012097
52.3000,0.013325
52.4000,0.008192
52.5000,0.000468
52.6000,0.006123
52.7000,0.002888
52.8000,-0.015257
52.9000,-0.025259
53.0000,-0.023621
53.1000,-0.018983
53.2000,-0.024168
53.3000,-0.023643
53.4000,-0.016789
53.5000,-0.021306
53.6000,-0.015485
53.7000,-0.006448
53.8000,-0.003141
53.9000,0.008520
54.0000,0.016938
54.1000,0.011559
54.2000,0.012443
54.3000,0.023627
54.4000,0.018779
54.5000,0.015087
54.6000,0.004038
54.7000,-0.010811
54.8000,-0.013004
54.9000,-0.014222
55.0000,-0.016662
55.1000,-0.021426
55.2000,-0.025491
55.3000,-0.020494
55.4000,-0.019243
55.5000,-0.006010
55.6000,0.006401
55.7000,0.000831
55.8000,0.009190
55.9000,0.021787
56.0000,0.019843
56.1000,0.023265
56.2000,0.017743
56.3000,0.011239
56.4000,-0.007112
56.5000,0.001201
56.6000,-0.010024
56.7000,-0.025866
56.8000,-0.034866
56.9000,-0.027056
57.0000,-0.027129
57.1000,-0.013925
57.2000,-0.014595
57.3000,-0.009109
57.4000,-0.001819
57.5000,0.005811
57.6000,0.009936
57.7000,0.016932
57.8000,0.024537
57.9000,0.027569
58.0000,0.018793
58.1000,0.010813
58.2000,-0.008040
58.3000,-0.010906
58.4000,-0.033199
58.5000,-0.031875
58.6000,-0.026379
58.7000,-0.028533
58.8000,-0.030916
58.9000,-0.016178
59.0000,-0.027707
59.1000,-0.000457
59.2000,-0.002837
59.3000,-0.010926
59.4000,-0.012227
59.5000,-0.020331
59.6000,-0.012793
59.7000,-0.018201
59.8000,-0.014113
59.9000,-0.008681
60.0000,-0.021374
60.1000,-0.054270
60.2000,-0.075597
60.3000,-0.069945
60.4000,-0.082887
60.5000,-0.083300
60.6000,-0.116077
60.7000,-0.151473
60.8000,-0.185126
60.9000,-0.193550
61.0000,-0.184834
61.1000,-0.164364
61.2000,-0.151684
61.3000,-0.151438
61.4000,-0.154280
61.5000,-0.160385
61.6000,-0.136020
61.7000,-0.106974
61.8000,-0.078601
61.9000,-0.048885
62.0000,-0.004504
62.1000,0.019592
62.2000,0.026800
62.3000,0.034734
62.4000,0.041005
62.5000,0.037326
62.6000,0.028189
62.7000,0.023901
62.8000,0.027879
62.9000,0.011276
63.0000,-0.010000
63.1000,-0.029415
63.2000,-0.041312
63.3000,-0.045345
63.4000,-0.049616
63.5000,-0.047805
63.6000,-0.041976
63.7000,-0.037273
63.8000,-0.020808
63.9000,-0.007803
64.0000,0.009461
64.1000,0.023519
64.2000,0.022334
64.3000,0.018236
64.4000,0.016103
64.5000,0.014401
64.6000,0.014759
64.7000,0.027482
64.8000,0.019323
64.9000,0.014142
65.0000,0.017496
65.1000,-0.002429
65.2000,-0.007374
65.3000,-0.007844
65.4000,-0.024330
65.5000,-0.017075
65.6000,-0.037016
65.7000,-0.018583
65.8000,-0.021947
65.9000,-0.011493
66.0000,-0.010406
66.1000,-0.004796
66.2000,-0.012438
66.3000,-0.012733
66.4000,-0.001455
66.5000,0.008383
66.6000,-0.000395
66.7000,0.005759
66.8000,-0.002362
66.9000,-0.000160
67.0000,-0.006153
67.1000,0.002139
67.2000,-0.002967
67.3000,-0.006045
67.4000,-0.010813
67.5000,-0.011410
67.6000,-0.009295
67.7000,-0.000562
67.8000,-0.000534
67.9000,-0.000361
68.0000,0.004844
68.1000,0.014641
68.2000,0.000206
68.3000,0.009187
68.4000,0.013349
68.5000,0.015991
68.6000,0.010820
68.7000,0.007022
68.8000,0.004999
68.9000,-0.010157
69.0000,0.001529
69.1000,0.005862
69.2000,0.014607
69.3000,0.006283
69.4000,-0.000126
69.5000,0.001776
69.6000,-0.001226
69.7000,0.004464
69.8000,-0.008093
69.9000,-0.000943
70.0000,-0.010254
70.1000,-0.006240
70.2000,-0.002964
70.3000,-0.017854
70.4000,-0.011091
70.5000,-0.011891
70.6000,-0.001804
70.7000,-0.002645
70.8000,-0.002557
70.9000,0.010515
71.0000,0.019885
71.1000,0.023447
71.2000,0.015052
71.3000,0.023266
71.4000,0.008834
71.5000,0.004730
71.6000,-0.007080
71.7000,0.003574
71.8000,-0.006032
71.9000,-0.007765
72.0000,-0.005656
72.1000,-0.015965
72.2000,-0.020571
72.3000,-0.011225
72.4000,-0.013340
